地段位置或門牌,社區簡稱,交易年月,總價(萬元),單價,總面積,主建物佔比,型態,屋齡,樓別/樓高,交易標的,交易筆棟數,建物現況格局,車位總價,管理組織,電梯,主要用途,備註
前厝４５之５號,,107/12/31,1560,0,74.72,,透天厝,2,全/三層,房地(土地+建物),土:2 建:1車:0,7房2廳5衛,,無,無,住家用,建物第一次登記後移轉
西浦頭７９之２號,,107/12/30,872,0,56.33,,透天厝,4,全/三層,房地(土地+建物),土:1 建:1車:0,5房2廳5衛,,無,無,住家用,
東堡５５號,,107/12/28,1500,0,51.05,,透天厝,1,全/三層,房地(土地+建物),土:3 建:1車:0,4房2廳3衛,,無,無,住家用,土地及建物分次登記案件。前案土地登記收件字號：;
湖南１３之１８號三樓,,107/12/28,705,20.1,35.05,81.22%,公寓(5樓含以下無電梯),,"三層,見其他登記事項/三層",房地(土地+建物),土:1 建:1車:0,3房2廳2衛,,無,無,住家用,建物第一次登記後移轉
下埔下１２３號,,107/12/21,1000,0,49.23,,透天厝,4,全/三層,房地(土地+建物),土:1 建:1車:0,5房1廳4衛,,無,無,住家用,建物第一次登記後移轉
上后垵１１３號３樓,,107/12/20,380,19.7,19.31,80.59%,公寓(5樓含以下無電梯),2,三層/三層,房地(土地+建物),土:1 建:1車:0,2房1廳2衛,,無,無,住家用,
上后垵１１２號,,107/12/20,400,21.3,18.76,90.54%,公寓(5樓含以下無電梯),2,一層/三層,房地(土地+建物),土:1 建:1車:0,2房1廳2衛,,無,無,住家用,
湖下４３之６號三樓,,107/12/15,600,20.6,29.09,86.19%,公寓(5樓含以下無電梯),,三層/三層,房地(土地+建物),土:1 建:1車:0,3房2廳2衛,,無,無,住家用,
安岐３５２號二樓,,107/12/13,498,18.8,26.5,72.84%,華廈(10層含以下有電梯),,二層/五層,房地(土地+建物),土:1 建:1車:0,3房2廳2衛,,無,無,住家用,
安岐３５２號三樓,,107/12/12,485,18.3,26.5,72.84%,華廈(10層含以下有電梯),,三層/五層,房地(土地+建物),土:1 建:1車:0,3房2廳2衛,,無,無,住家用,
湖南１３之１７號,,107/12/07,545,20.5,26.62,81.41%,公寓(5樓含以下無電梯),,一層/三層,房地(土地+建物),土:1 建:1車:0,2房2廳2衛,,無,無,住家用,建物第一次登記後移轉
前厝４７號,,107/12/06,490,22.7,21.59,84.12%,公寓(5樓含以下無電梯),4,一層/三層,房地(土地+建物),土:1 建:1車:0,3房1廳2衛,,無,無,住家用,
盤果路２５號,金盤基,107/12/06,1450,0,52.16,,透天厝,2,全/三層,房地(土地+建物),土:2 建:1車:0,4房1廳4衛,,無,無,住家用,
湖南１３之１６號,,107/12/06,545,20.5,26.62,81.41%,公寓(5樓含以下無電梯),,一層/三層,房地(土地+建物),土:1 建:1車:0,2房2廳2衛,,無,無,住家用,建物第一次登記後移轉
慈湖路一段２０７號,,107/12/05,250,0,54.73,,透天厝,16,全/三層,房地(土地+建物),土:1 建:1車:0,4房2廳4衛,,無,無,住家用,親友、員工或其他特殊關係間之交易。;
埔邊３９號三樓,,107/12/05,870,23.3,37.41,79.89%,公寓(5樓含以下無電梯),5,三層/三層,房地(土地+建物),土:1 建:1車:0,3房1廳2衛,,無,無,住家用,
湖南１３之１６號二樓,,107/12/03,510,19.2,26.62,81.41%,公寓(5樓含以下無電梯),,二層/三層,房地(土地+建物),土:1 建:1車:0,2房2廳2衛,,無,無,住家用,建物第一次登記後移轉
湖南１３之１５號,,107/12/03,548,20.6,26.62,81.41%,公寓(5樓含以下無電梯),,一層/三層,房地(土地+建物),土:1 建:1車:0,2房2廳2衛,,無,無,住家用,建物第一次登記後移轉
湖南１３之１８號二樓,,107/12/03,506,19,26.62,81.41%,公寓(5樓含以下無電梯),,二層/三層,房地(土地+建物),土:1 建:1車:0,2房2廳2衛,,無,無,住家用,建物第一次登記後移轉
湖南１３之１６號三樓,,107/12/03,705,20.1,35.05,81.22%,公寓(5樓含以下無電梯),,"三層,見其他登記事項/三層",房地(土地+建物),土:1 建:1車:0,3房2廳2衛,,無,無,住家用,建物第一次登記後移轉
湖南１３之１５號三樓,,107/12/03,705,20.1,35.05,81.22%,公寓(5樓含以下無電梯),,"三層,見其他登記事項/三層",房地(土地+建物),土:1 建:1車:0,3房2廳2衛,,無,無,住家用,建物第一次登記後移轉
湖南１３之１５號二樓,,107/12/03,510,19.2,26.62,81.41%,公寓(5樓含以下無電梯),,二層/三層,房地(土地+建物),土:1 建:1車:0,2房2廳2衛,,無,無,住家用,建物第一次登記後移轉
湖南１３之１７號二樓,,107/12/03,510,19.2,26.62,81.41%,公寓(5樓含以下無電梯),,二層/三層,房地(土地+建物),土:1 建:1車:0,2房2廳2衛,,無,無,住家用,建物第一次登記後移轉
埔邊１７之８號二樓,,107/11/30,260,21.2,12.25,46.51%,套房(1房(1廳)1衛),3,二層/三層,房地(土地+建物),土:1 建:1車:0,1房0廳1衛,,無,無,住家用,
下堡２０２號二樓,,107/11/26,705,19.5,36.1,80.01%,公寓(5樓含以下無電梯),6,二層/三層,房地(土地+建物),土:1 建:1車:0,3房2廳2衛,,無,無,住家用,
湖下２３６之１號,,107/11/16,420,15.9,26.38,82.30%,公寓(5樓含以下無電梯),2,一層/三層,房地(土地+建物),土:1 建:1車:0,3房1廳2衛,,無,無,住家用,
盤山村頂堡６６之７號,,107/10/16,560,19,29.42,86.95%,公寓(5樓含以下無電梯),4,一層/三層,房地(土地+建物),土:1 建:1車:0,3房2廳2衛,,無,無,住家用,
西浦頭７９之１２號三樓,,107/10/08,390,16.2,24.06,81.58%,公寓(5樓含以下無電梯),3,三層/三層,房地(土地+建物),土:1 建:1車:0,3房1廳2衛,,無,無,住家用,
下堡１９１號,,107/10/08,228,20.9,10.92,80.19%,公寓(5樓含以下無電梯),4,一層/三層,房地(土地+建物),土:1 建:1車:0,1房1廳1衛,,無,無,住家用,土地及建物分次登記案件。前案土地登記收件字號：;
埔邊３７號二樓,,107/10/01,790,22.8,34.6,87.46%,公寓(5樓含以下無電梯),5,二層/三層,房地(土地+建物),土:1 建:1車:0,3房2廳2衛,,無,無,住家用,
下埔下３２８號,,107/09/21,720,22.7,31.76,88.13%,公寓(5樓含以下無電梯),6,一層/三層,房地(土地+建物),土:1 建:1車:0,3房2廳3衛,,無,無,住家用,
湖下２１２之８號三樓,,107/09/20,350,17.5,19.97,83.70%,公寓(5樓含以下無電梯),3,三層/三層,房地(土地+建物),土:2 建:1車:0,2房2廳1衛,,無,無,住家用,
埔後４０之３號,,107/09/14,900,0,50.31,,透天厝,5,全/三層,房地(土地+建物),土:3 建:1車:0,3房2廳2衛,,無,無,住家用,
下堡２２７號二樓,,107/09/10,556,18.4,30.15,78.49%,公寓(5樓含以下無電梯),1,二層/三層,房地(土地+建物),土:1 建:1車:0,3房2廳2衛,,無,無,住家用,建物第一次登記後移轉 土地及建物分次登記案件。前案土地登記收件字號：;
下堡１４９號,,107/08/29,1320,0,101.48,,透天厝,,全/三層,房地(土地+建物)+車位,土:1 建:1車:3,5房3廳5衛,,無,無,住家用,建物第一次登記後移轉 土地及建物分次登記案件。前案土地登記收件字號：;
下堡１４９之１號,,107/08/29,1385,0,89.69,,透天厝,,全/三層,房地(土地+建物)+車位,土:1 建:1車:1,5房3廳5衛,,無,無,住家用,建物第一次登記後移轉 土地及建物分次登記案件。前案土地登記收件字號：;
下堡１４９之２號,,107/08/29,1320,0,93.91,,透天厝,,全/三層,房地(土地+建物)+車位,土:1 建:1車:2,5房3廳5衛,,無,無,住家用,建物第一次登記後移轉 土地及建物分次登記案件。前案土地登記收件字號：;
下堡１４９之３號,,107/08/29,1100,0,89.69,,透天厝,,全/三層,房地(土地+建物)+車位,土:1 建:1車:1,5房3廳5衛,,無,無,住家用,建物第一次登記後移轉 土地及建物分次登記案件。前案土地登記收件字號：;
下堡１４９之７號,,107/08/29,1360,0,93.57,,透天厝,,全/三層,房地(土地+建物)+車位,土:1 建:1車:2,5房3廳5衛,,無,無,住家用,建物第一次登記後移轉
下堡１４９之１０號,,107/08/29,1150,0,85.1,,透天厝,,全/三層,房地(土地+建物)+車位,土:1 建:1車:1,5房3廳5衛,,無,無,住家用,建物第一次登記後移轉
下堡１４９之６號,,107/08/29,1360,0,89.69,,透天厝,,全/三層,房地(土地+建物)+車位,土:1 建:1車:1,5房3廳5衛,,無,無,住家用,建物第一次登記後移轉
下堡１４９之５號,,107/08/29,1292,0,89.69,,透天厝,,全/三層,房地(土地+建物)+車位,土:1 建:1車:1,5房3廳5衛,,無,無,住家用,建物第一次登記後移轉
下堡１４９之１１號,,107/08/29,1170,0,84.19,,透天厝,,全/三層,房地(土地+建物)+車位,土:1 建:1車:1,5房3廳6衛,,無,無,住家用,建物第一次登記後移轉
下堡１４９之１２號,,107/08/29,1240,0,93.92,,透天厝,,全/三層,房地(土地+建物)+車位,土:1 建:1車:2,5房3廳5衛,,無,無,住家用,建物第一次登記後移轉
下堡１４９之１３號,,107/08/29,1130,0,89.4,,透天厝,,全/三層,房地(土地+建物)+車位,土:1 建:1車:1,5房3廳5衛,,無,無,住家用,建物第一次登記後移轉
下堡１４９之１５號,,107/08/29,1000,0,84.35,,透天厝,,全/三層,房地(土地+建物)+車位,土:1 建:1車:1,5房3廳5衛,,無,無,住家用,建物第一次登記後移轉
下堡１４９之１６號,,107/08/29,700,15.3,45.7,79.08%,華廈(10層含以下有電梯),,一層/三層,房地(土地+建物)+車位,土:1 建:1車:1,4房2廳2衛,,無,無,住家用,建物第一次登記後移轉
下堡１４９之１６號二樓,,107/08/29,760,15.3,49.56,72.95%,華廈(10層含以下有電梯),,二層/三層,房地(土地+建物)+車位,土:1 建:1車:1,4房2廳2衛,,無,無,住家用,建物第一次登記後移轉
下堡１４９之１６號三樓,,107/08/29,720,14.6,49.22,72.95%,華廈(10層含以下有電梯),,三層/三層,房地(土地+建物)+車位,土:1 建:1車:1,4房2廳2衛,,無,無,住家用,建物第一次登記後移轉
下堡１４９之１７號三樓,,107/08/29,700,14.6,48.07,72.98%,華廈(10層含以下有電梯),,三層/三層,房地(土地+建物)+車位,土:1 建:1車:1,4房2廳2衛,,無,無,住家用,建物第一次登記後移轉
下堡１４９之１７號,,107/08/29,720,15.2,47.3,78.95%,華廈(10層含以下有電梯),,一層/三層,房地(土地+建物)+車位,土:1 建:1車:1,4房2廳2衛,,無,無,住家用,建物第一次登記後移轉
下堡１４９之１７號二樓,,107/08/29,775,16,48.41,72.98%,華廈(10層含以下有電梯),,二層/三層,房地(土地+建物)+車位,土:1 建:1車:1,4房2廳3衛,,無,無,住家用,建物第一次登記後移轉
榜林６之１１號,,107/08/23,600,22.8,26.31,84.10%,公寓(5樓含以下無電梯),,一層/三層,房地(土地+建物),土:1 建:1車:0,3房1廳2衛,,無,無,住家用,建物第一次登記後移轉 土地及建物分次登記案件。前案土地登記收件字號：;
榜林６之１１號三樓,,107/08/23,590,22.4,26.31,84.10%,公寓(5樓含以下無電梯),,三層/三層,房地(土地+建物),土:1 建:1車:0,3房1廳2衛,,無,無,住家用,建物第一次登記後移轉 土地及建物分次登記案件。前案土地登記收件字號：;
榜林６之１２號,,107/08/23,580,23.4,24.82,84.13%,公寓(5樓含以下無電梯),,一層/三層,房地(土地+建物),土:1 建:1車:0,2房1廳2衛,,無,無,住家用,建物第一次登記後移轉 土地及建物分次登記案件。前案土地登記收件字號：;
榜林６之１１號二樓,,107/08/23,580,22,26.31,84.10%,公寓(5樓含以下無電梯),,二層/三層,房地(土地+建物),土:1 建:1車:0,3房1廳2衛,,無,無,住家用,建物第一次登記後移轉 土地及建物分次登記案件。前案土地登記收件字號：;
下堡１９５號三樓,,107/08/23,725,19.8,36.68,91.33%,公寓(5樓含以下無電梯),4,三層/三層,房地(土地+建物),土:1 建:1車:0,3房2廳2衛,,無,無,住家用,土地及建物分次登記案件。前案土地登記收件字號：;
下堡１００之１１號,,107/08/22,480,16.1,29.84,69.21%,公寓(5樓含以下無電梯),5,一層/三層,房地(土地+建物),土:1 建:1車:0,3房0廳3衛,,無,無,住家用,
東州７６之２號三樓,,107/08/20,700,16,43.71,57.91%,華廈(10層含以下有電梯),3,三層/三層,房地(土地+建物)+車位,土:1 建:1車:1,3房2廳2衛,,無,無,住家用,
安岐４８之１０號,,107/07/26,450,18.6,24.19,89.26%,公寓(5樓含以下無電梯),2,一層/三層,房地(土地+建物),土:1 建:1車:0,2房2廳2衛,,無,無,住家用,土地及建物分次登記案件。前案土地登記收件字號：;
東州７６２號２樓,,107/07/24,730,16.6,43.94,57.61%,華廈(10層含以下有電梯),3,二層/三層,房地(土地+建物)+車位,土:1 建:1車:1,3房2廳2衛,,無,無,住家用,
湖下２３６之１號三樓,,107/07/14,480,17.2,27.95,77.68%,公寓(5樓含以下無電梯),2,三層/三層,房地(土地+建物),土:1 建:1車:0,3房2廳2衛,,無,無,住家用,
下堡２２７號,,107/07/12,690,17.7,38.88,91.28%,公寓(5樓含以下無電梯),1,"一層,地下一層/三層",房地(土地+建物),土:1 建:1車:0,3房2廳2衛,,無,無,住家用,建物第一次登記後移轉 土地及建物分次登記案件。前案土地登記收件字號：;
頂埔下２９之１號,,107/07/10,380,11.7,32.37,41.97%,套房(1房(1廳)1衛),2,一層/三層,房地(土地+建物),土:1 建:2車:0,1房1廳1衛,,無,無,住家用,建物第一次登記後移轉
下堡１００之１２號,,107/07/09,180,14,12.81,57.63%,公寓(5樓含以下無電梯),5,一層/三層,房地(土地+建物)+車位,土:1 建:1車:1,4房1廳4衛,,無,無,住家用,
埔邊１２號,,107/07/02,1200,0,128.56,,透天厝,8,全/三層,房地(土地+建物),土:1 建:1車:0,5房3廳6衛,,無,無,住家用,急買急賣。;
安岐２９０號二樓之１,,107/06/26,607,20,30.37,80.66%,華廈(10層含以下有電梯),,二層/五層,房地(土地+建物),土:1 建:1車:0,3房2廳2衛,,無,無,住家用,建物第一次登記後移轉 土地及建物分次登記案件。前案土地登記收件字號：;
安岐２９１號四樓,,107/05/29,630,20.3,31,78.47%,華廈(10層含以下有電梯),,四層/五層,房地(土地+建物),土:1 建:1車:0,3房2廳2衛,,無,無,住家用,建物第一次登記後移轉 土地及建物分次登記案件。前案土地登記收件字號：;
安岐４８之１２號三樓,,107/05/22,470,16.1,29.14,85.74%,公寓(5樓含以下無電梯),2,三層/三層,房地(土地+建物),土:1 建:1車:0,3房2廳2衛,,無,無,住家用,土地及建物分次登記案件。前案土地登記收件字號：;
下埔下１１０號,,107/05/16,1200,0,56.59,,透天厝,7,全/三層,房地(土地+建物),土:2 建:1車:0,8房1廳4衛,,無,無,住家用,
前厝４７號,,107/05/15,470,21.8,21.59,84.12%,公寓(5樓含以下無電梯),4,一層/三層,房地(土地+建物),土:1 建:1車:0,2房2廳2衛,,無,無,住家用,
昔果山１７號,,107/05/03,1200,0,39.69,,透天厝,51,全/一層,房地(土地+建物),土:1 建:1車:0,6房2廳6衛,,無,無,住家用,
下埔下１２５號,,107/04/29,965,0,49.23,,透天厝,3,全/三層,房地(土地+建物),土:1 建:1車:0,5房1廳4衛,,無,無,住家用,
頂堡９７之５號二樓,,107/04/20,600,16.8,35.63,74.25%,公寓(5樓含以下無電梯),1,二層/三層,房地(土地+建物),土:2 建:1車:0,3房2廳2衛,,無,無,住家用,建物第一次登記後移轉
林湖路２９５之３號,,107/04/18,1150,0,58.38,,透天厝,3,全/三層,房地(土地+建物),土:1 建:1車:0,5房2廳5衛,,無,無,住家用,
安岐４８之１１號,,107/04/03,470,16.5,28.43,89.96%,公寓(5樓含以下無電梯),2,一層/三層,房地(土地+建物),土:1 建:1車:0,3房2廳2衛,,無,無,住家用,土地及建物分次登記案件。前案土地登記收件字號：;
安岐２９０號二樓,,107/04/02,410,18.3,22.46,80.47%,華廈(10層含以下有電梯),,二層/五層,房地(土地+建物),土:1 建:1車:0,2房1廳2衛,,無,無,住家用,建物第一次登記後移轉 土地及建物分次登記案件。前案土地登記收件字號：;
安岐２９０號四樓,,107/04/02,440,19.6,22.46,80.47%,華廈(10層含以下有電梯),,四層/五層,房地(土地+建物),土:1 建:1車:0,2房1廳2衛,,無,無,住家用,建物第一次登記後移轉 土地及建物分次登記案件。前案土地登記收件字號：;
安岐２９０號五樓,,107/04/02,400,17.8,22.46,80.47%,華廈(10層含以下有電梯),,五層/五層,房地(土地+建物),土:1 建:1車:0,2房1廳2衛,,無,無,住家用,建物第一次登記後移轉 土地及建物分次登記案件。前案土地登記收件字號：;
安岐２９１號五樓,,107/04/02,650,21,31,78.47%,華廈(10層含以下有電梯),,五層/五層,房地(土地+建物),土:1 建:1車:0,3房2廳2衛,,無,無,住家用,建物第一次登記後移轉 土地及建物分次登記案件。前案土地登記收件字號：;
頂埔下２９號二樓之１１,,107/03/30,240,22.5,10.68,64.46%,華廈(10層含以下有電梯),2,二層/三層,房地(土地+建物),土:1 建:1車:0,,,無,無,住家用,
安岐４８之１１號二樓,,107/03/22,465,16.4,28.42,85.40%,公寓(5樓含以下無電梯),2,二層/三層,房地(土地+建物),土:1 建:1車:0,3房2廳2衛,,無,無,住家用,土地及建物分次登記案件。前案土地登記收件字號：;
安岐２９１號三樓,,107/03/19,620,20,31,78.47%,華廈(10層含以下有電梯),,三層/五層,房地(土地+建物),土:1 建:1車:0,3房2廳2衛,,無,無,住家用,建物第一次登記後移轉 土地及建物分次登記案件。前案土地登記收件字號：;
前厝４６之８號,,107/03/19,780,18.6,41.99,66.02%,公寓(5樓含以下無電梯),1,一層/三層,房地(土地+建物)+車位,土:1 建:1車:1,2房2廳2衛,,無,無,住家用,建物第一次登記後移轉 土地及建物分次登記案件。前案土地登記收件字號：;
東堡６０號,,107/03/16,1350,0,51.09,,透天厝,,全/三層,房地(土地+建物),土:3 建:1車:0,4房2廳3衛,,無,無,住家用,建物第一次登記後移轉 土地及建物分次登記案件。前案土地登記收件字號：;
安岐２９１號,,107/03/14,650,22.2,29.3,82.96%,華廈(10層含以下有電梯),,一層/五層,房地(土地+建物),土:1 建:1車:0,3房2廳2衛,,無,無,住家用,建物第一次登記後移轉 土地及建物分次登記案件。前案土地登記收件字號：;
安岐２９１號二樓,,107/03/14,580,18.7,31,78.47%,華廈(10層含以下有電梯),,二層/五層,房地(土地+建物),土:1 建:1車:0,3房2廳2衛,,無,無,住家用,建物第一次登記後移轉 土地及建物分次登記案件。前案土地登記收件字號：;
安岐２９０號五樓之１,,107/03/14,651,21.4,30.37,80.66%,華廈(10層含以下有電梯),,五層/五層,房地(土地+建物),土:1 建:1車:0,3房2廳2衛,,無,無,住家用,建物第一次登記後移轉 土地及建物分次登記案件。前案土地登記收件字號：;
安岐２９０號三樓,,107/03/14,400,17.8,22.46,80.47%,華廈(10層含以下有電梯),,三層/五層,房地(土地+建物),土:1 建:1車:0,2房1廳2衛,,無,無,住家用,建物第一次登記後移轉 土地及建物分次登記案件。前案土地登記收件字號：;
安岐２９０號三樓之１,,107/03/14,607.2,20,30.37,80.66%,華廈(10層含以下有電梯),,三層/五層,房地(土地+建物),土:1 建:1車:0,3房2廳2衛,,無,無,住家用,建物第一次登記後移轉 土地及建物分次登記案件。前案土地登記收件字號：;
下堡１９９號三樓,,107/03/13,210,18.9,11.11,80.50%,套房(1房(1廳)1衛),3,三層/三層,房地(土地+建物),土:1 建:1車:0,1房1廳1衛,,無,無,住家用,土地及建物分次登記案件。前案土地登記收件字號：;
湖下１４２之６號,,107/03/11,400,14.2,28.13,75.95%,公寓(5樓含以下無電梯),2,一層/三層,房地(土地+建物),土:1 建:1車:0,2房2廳2衛,,無,無,住家用,
盤果路４６巷２號,,107/03/08,1039,0,46.78,,透天厝,1,全/三層,房地(土地+建物),土:2 建:1車:0,4房1廳4衛,,無,無,住家用,
湖下２１３之６號三樓,,107/03/03,535,12.1,44.33,59.45%,公寓(5樓含以下無電梯),,三層/三層,房地(土地+建物)+車位,土:2 建:1車:1,3房2廳2衛,45,無,無,住家用,建物第一次登記後移轉
湖下２１３之７號三樓,,107/02/25,525,12.9,40.61,59.44%,公寓(5樓含以下無電梯),,三層/三層,房地(土地+建物),土:2 建:1車:0,3房2廳2衛,,無,無,住家用,
湖下２１３之３號三樓,,107/02/22,520,11.7,44.17,59.29%,公寓(5樓含以下無電梯),,三層/三層,房地(土地+建物)+車位,土:2 建:1車:1,3房2廳2衛,45,無,無,住家用,建物第一次登記後移轉
盤果路４６巷３號,,107/02/21,1200,0,47.15,,透天厝,1,全/三層,房地(土地+建物),土:2 建:1車:0,5房1廳4衛,,無,無,住家用,
湖下２１３之５號,,107/02/05,545,13.3,41.29,63.82%,公寓(5樓含以下無電梯),,一層/三層,房地(土地+建物)+車位,土:2 建:1車:1,3房2廳2衛,45,無,無,住家用,建物第一次登記後移轉
湖下２１３之７號二樓,,107/02/04,530,13.1,40.57,59.51%,公寓(5樓含以下無電梯),,二層/三層,房地(土地+建物),土:2 建:1車:0,3房1廳2衛,,無,無,住家用,
安岐２１５號,,107/02/01,920,0,53.87,,透天厝,1,全/三層,房地(土地+建物),土:2 建:1車:0,5房1廳5衛,,無,無,住家用,建物第一次登記後移轉 土地及建物分次登記案件。前案土地登記收件字號：;
仁愛新?６６之２號三樓,,107/01/31,420,21.3,19.71,88.58%,公寓(5樓含以下無電梯),,三層/三層,房地(土地+建物),土:1 建:1車:0,2房1廳1衛,,無,無,住家用,建物第一次登記後移轉
湖下２１３之８號二樓,,107/01/30,530,13.1,40.41,59.34%,公寓(5樓含以下無電梯),,二層/三層,房地(土地+建物),土:2 建:1車:0,3房1廳2衛,,無,無,住家用,
安岐２７０之１號三樓,,107/01/30,439,16.9,25.96,81.19%,公寓(5樓含以下無電梯),3,三層/三層,房地(土地+建物),土:1 建:1車:0,3房2廳2衛,,無,無,住家用,
頂堡３００號二樓,,107/01/26,610,17,35.95,71.11%,公寓(5樓含以下無電梯),2,二層/三層,房地(土地+建物),土:1 建:1車:0,3房2廳2衛,,無,無,住家用,土地及建物分次登記案件。前案土地登記收件字號：;
西浦頭７９之１２號二樓,,107/01/26,440,19,23.21,84.56%,公寓(5樓含以下無電梯),3,二層/三層,房地(土地+建物),土:1 建:1車:0,3房1廳2衛,,無,無,住家用,
頂堡９７之３號二樓,,107/01/26,600,16.2,37.01,75.25%,公寓(5樓含以下無電梯),1,二層/三層,房地(土地+建物),土:2 建:1車:0,3房2廳2衛,,無,無,住家用,建物第一次登記後移轉
湖下２１３之６號二樓,,107/01/23,515,11.6,44.29,59.51%,公寓(5樓含以下無電梯),,二層/三層,房地(土地+建物)+車位,土:2 建:1車:1,3房2廳2衛,45,無,無,住家用,建物第一次登記後移轉
盤果路４６巷２號,,107/01/17,1300,0,46.78,,透天厝,1,全/三層,房地(土地+建物),土:2 建:1車:0,5房1廳4衛,,無,無,住家用,
仁愛新?６６之３號二樓,,107/01/15,400,21.1,18.93,85.81%,公寓(5樓含以下無電梯),,二層/三層,房地(土地+建物),土:1 建:1車:0,2房2廳1衛,,無,無,住家用,建物第一次登記後移轉
仁愛新?６６之２號,,107/01/11,450,23.9,18.8,88.56%,公寓(5樓含以下無電梯),,一層/三層,房地(土地+建物),土:1 建:1車:0,1房1廳1衛,,無,無,住家用,建物第一次登記後移轉
仁愛新?６６之２號二樓,,107/01/11,420,21.3,19.71,88.58%,公寓(5樓含以下無電梯),,二層/三層,房地(土地+建物),土:1 建:1車:0,2房1廳1衛,,無,無,住家用,建物第一次登記後移轉
下堡１９３號二樓,,107/01/04,220,19.9,11.07,80.22%,套房(1房(1廳)1衛),3,二層/三層,房地(土地+建物),土:1 建:1車:0,1房1廳1衛,,無,無,住家用,土地及建物分次登記案件。前案土地登記收件字號：;
湖下２１３之９號,,106/12/31,795,12.8,63.61,63.82%,公寓(5樓含以下無電梯),,一層/三層,房地(土地+建物)+車位,土:2 建:1車:1,3房2廳2衛,315,無,無,住家用,建物第一次登記後移轉 車位交易總價含7個停車位單獨車位交易。;
埔後１８之１號,,106/12/28,690,23.6,29.3,79.51%,公寓(5樓含以下無電梯),,一層/三層,房地(土地+建物),土:1 建:1車:0,3房2廳2衛,,無,無,住家用,建物第一次登記後移轉 土地及建物分次登記案件。前案土地登記收件字號：;
埔後１８之１號二樓,,106/12/28,663,22.6,29.3,79.51%,公寓(5樓含以下無電梯),,二層/三層,房地(土地+建物),土:1 建:1車:0,3房2廳2衛,,無,無,住家用,建物第一次登記後移轉 土地及建物分次登記案件。前案土地登記收件字號：;
埔後１８之１號三樓,,106/12/28,678,23.1,29.3,79.51%,公寓(5樓含以下無電梯),,三層/三層,房地(土地+建物),土:1 建:1車:0,3房2廳2衛,,無,無,住家用,建物第一次登記後移轉 土地及建物分次登記案件。前案土地登記收件字號：;
前厝４５之９號,,106/12/27,1300,0,54.43,,透天厝,1,全/三層,房地(土地+建物),土:2 建:1車:0,5房2廳4衛,,無,無,住家用,建物第一次登記後移轉
湖南３２之１５號二樓,,106/12/26,494,17.7,27.93,88.78%,公寓(5樓含以下無電梯),,二層/三層,房地(土地+建物),土:1 建:1車:0,3房2廳2衛,,無,無,住家用,建物第一次登記後移轉
湖南３２之１６號二樓,,106/12/26,494,17.7,27.93,88.78%,公寓(5樓含以下無電梯),,二層/三層,房地(土地+建物),土:1 建:1車:0,3房2廳2衛,,無,無,住家用,建物第一次登記後移轉
湖南３２之１６號三樓,,106/12/26,494,17.7,27.93,88.78%,公寓(5樓含以下無電梯),,三層/三層,房地(土地+建物),土:1 建:1車:0,3房2廳2衛,,無,無,住家用,建物第一次登記後移轉
湖南３２之１７號二樓,,106/12/26,366,17.4,20.99,84.53%,公寓(5樓含以下無電梯),,二層/三層,房地(土地+建物),土:1 建:1車:0,2房1廳2衛,,無,無,住家用,建物第一次登記後移轉
仁愛新?６６之３號三樓,,106/12/22,400,21.1,18.93,85.81%,公寓(5樓含以下無電梯),,三層/三層,房地(土地+建物),土:1 建:1車:0,2房2廳1衛,,無,無,住家用,建物第一次登記後移轉
安岐２２７號,,106/12/21,1150,0,59.4,,透天厝,1,全/三層,房地(土地+建物),土:2 建:1車:0,5房2廳5衛,,無,無,住家用,
安岐２３０號,,106/12/21,550,19.9,27.7,87.89%,公寓(5樓含以下無電梯),1,一層/三層,房地(土地+建物),土:2 建:1車:0,3房2廳2衛,,無,無,住家用,建物第一次登記後移轉 土地及建物分次登記案件。前案土地登記收件字號：;
西浦頭２０之１０號,,106/12/14,600,23.8,25.18,96.31%,公寓(5樓含以下無電梯),,一層/三層,房地(土地+建物),土:1 建:1車:0,3房2廳2衛,,無,無,住家用,建物第一次登記後移轉
西浦頭２０之７號二樓,,106/12/14,560,20.1,27.9,85.05%,公寓(5樓含以下無電梯),,二層/三層,房地(土地+建物),土:1 建:1車:0,3房2廳2衛,,無,無,住家用,建物第一次登記後移轉
盤果路４６巷３號,,106/11/27,1300,0,47.15,,透天厝,1,全/三層,房地(土地+建物),土:2 建:1車:0,5房1廳4衛,,無,無,住家用,
仁愛新村８８號,,106/11/17,1010,0,58.75,,透天厝,7,全/三層,房地(土地+建物),土:1 建:1車:0,5房2廳4衛,,無,無,住家用,
前厝４６之１０號二樓,,106/11/17,700,13.2,53.19,63.31%,公寓(5樓含以下無電梯),,二層/三層,房地(土地+建物)+車位,土:1 建:1車:1,2房2廳2衛,,無,無,住家用,建物第一次登記後移轉 土地及建物分次登記案件。前案土地登記收件字號：;
前厝４６之９號,,106/11/17,700,14.7,47.49,66.30%,公寓(5樓含以下無電梯),,一層/三層,房地(土地+建物)+車位,土:1 建:1車:1,2房2廳2衛,,無,無,住家用,建物第一次登記後移轉 土地及建物分次登記案件。前案土地登記收件字號：;
前厝４６之１號,,106/11/15,1235,0,62.46,,透天厝,1,全/三層,房地(土地+建物),土:1 建:1車:0,5房2廳4衛,,無,無,住家用,建物第一次登記後移轉 土地及建物分次登記案件。前案土地登記收件字號：;
