總價(萬元),單價,總面積,主建物佔比,型態,管理組織,電梯,交易年份,土,建,車,房,廳,衛,樓別,樓高,地區
800.0,17.2,46.47,61.46%,公寓(5樓含以下無電梯),無,無,111,1,1,1,3.0,2.0,2.0,二層,3,安岐
550.0,22.2,24.72,81.27%,公寓(5樓含以下無電梯),無,無,111,1,1,0,3.0,2.0,2.0,三層,3,東坑
700.0,15.5,45.06,59.18%,華廈(10層含以下有電梯),有,有,111,5,1,3,3.0,2.0,2.0,一層,5,頂堡
700.0,17.1,40.95,59.13%,華廈(10層含以下有電梯),有,有,111,5,1,1,3.0,2.0,2.0,四層,5,頂堡
700.0,17.1,40.95,59.13%,華廈(10層含以下有電梯),有,有,111,5,1,1,3.0,2.0,2.0,三層,5,頂堡
700.0,21.9,31.9,77.45%,華廈(10層含以下有電梯),無,有,111,2,1,0,3.0,2.0,2.0,三層,3,林湖路
558.0,19.1,31.13,74.82%,華廈(10層含以下有電梯),無,有,111,1,1,1,3.0,2.0,2.0,四層,5,瓊安路
660.0,16.3,40.5,59.13%,華廈(10層含以下有電梯),有,有,111,5,1,2,3.0,2.0,2.0,三層,5,頂堡
700.0,17.3,40.49,59.15%,華廈(10層含以下有電梯),有,有,111,5,1,2,3.0,2.0,2.0,一層,5,頂堡
660.0,16.3,40.5,59.13%,華廈(10層含以下有電梯),有,有,111,5,1,2,3.0,2.0,2.0,四層,5,頂堡
500.0,16.6,30.14,62.88%,華廈(10層含以下有電梯),有,有,111,5,1,1,2.0,2.0,2.0,三層,5,頂堡
480.0,15.9,30.14,62.88%,華廈(10層含以下有電梯),有,有,111,5,1,1,2.0,2.0,2.0,四層,5,頂堡
480.0,18.6,25.78,62.87%,華廈(10層含以下有電梯),有,有,111,5,1,0,2.0,2.0,2.0,四層,5,頂堡
500.0,19.3,25.89,62.97%,華廈(10層含以下有電梯),有,有,111,5,1,0,2.0,2.0,2.0,一層,5,頂堡
680.0,18.5,36.74,59.14%,華廈(10層含以下有電梯),有,有,111,5,1,0,3.0,2.0,2.0,五層,5,頂堡
430.0,16.6,25.85,62.88%,華廈(10層含以下有電梯),有,有,111,5,1,0,2.0,2.0,2.0,二層,5,頂堡
480.0,18.6,25.85,62.88%,華廈(10層含以下有電梯),有,有,111,5,1,0,2.0,2.0,2.0,五層,5,頂堡
650.0,17.7,36.74,59.14%,華廈(10層含以下有電梯),有,有,111,5,1,0,3.0,2.0,2.0,二層,5,頂堡
555.0,23.9,23.26,75.19%,華廈(10層含以下有電梯),有,有,111,1,1,0,2.0,2.0,1.0,四層,5,湖下
640.0,18.7,34.19,71.88%,華廈(10層含以下有電梯),無,有,111,2,1,0,3.0,2.0,2.0,五層,5,西山
545.0,19.1,28.53,67.93%,華廈(10層含以下有電梯),無,有,111,2,1,0,2.0,1.0,2.0,四層,4,西山
765.0,17.9,42.66,59.66%,華廈(10層含以下有電梯),有,有,111,1,1,0,3.0,2.0,2.0,一層,6,頂堡
810.0,17.6,46.83,59.64%,華廈(10層含以下有電梯),有,有,111,1,1,1,3.0,2.0,2.0,二層,6,頂堡
700.0,16.2,43.2,59.13%,華廈(10層含以下有電梯),有,有,111,5,1,1,3.0,2.0,2.0,五層,5,頂堡
200.0,18.9,10.58,64.24%,華廈(10層含以下有電梯),有,有,111,1,1,0,1.0,0.0,1.0,三層,3,頂埔下
642.0,18.3,50.09,67.93%,華廈(10層含以下有電梯),無,有,111,2,1,4,2.0,2.0,1.0,二層,4,西山
430.0,22.7,18.95,92.16%,公寓(5樓含以下無電梯),無,無,111,1,1,0,2.0,1.0,1.0,一層,3,昔果山
830.0,24.1,34.51,81.35%,公寓(5樓含以下無電梯),無,無,111,1,1,0,3.0,2.0,2.0,一層,3,林湖路
530.0,19.0,27.92,82.08%,公寓(5樓含以下無電梯),無,無,111,1,1,0,3.0,2.0,2.0,二層,3,中堡
